".\Codemasters\Kamikaze (Codemasters 1990).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "475",  "0",  "CC9D1E8F",  "1",  "5",  "582438",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Kwik Snax (Codemasters 1990).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "806",  "0",  "A775717B",  "1",  "5",  "934217",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Little Puff In Dragonland (Codemasters 1990).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "593",  "0",  "729011A3",  "1",  "5",  "697064",  "DD3DE175",  "Visiload T1",  
".\Codemasters\MIG-29 Soviet Fighter (Codemasters 1989).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "631",  "0",  "D44AFFF9",  "1",  "5",  "756833",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Miami Chase (Codemasters 1991).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "608",  "0",  "D402CEBB",  "1",  "5",  "730164",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Mr Angry (Codemasters 1986).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "387",  "0",  "2C735313",  "1",  "5",  "480324",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Ninja Massacre (Codemasters 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "804",  "0",  "5016BEC7",  "1",  "5",  "935993",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Olli And Lissa III (Codemasters 1990).slc.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "592",  "0",  "599D9C50",  "1",  "5",  "705194",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Powerboat Simulator (Codemasters 1989).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "559",  "0",  "C7E50E25",  "1",  "5",  "673719",  "DD3DE175",  "Visiload T1",  
".\Codemasters\Pro Boxing Simulator (Codemasters 1990).ft.tap",  "100%",  "PASS",  "PASS",  "PASS",  "PASS",  "PASS",  "703",  "0",  "F729305D",  "1",  "5",  "812434",  "DD3DE175",  "Visiload T1",  
